run_id,scenario_name,round_number,metric.communication_feature_presence,metric.communication_open_coding,metric.content_filter_refusal,metric.english_ngram_backoff_surprisal,metric.english_ngram_surprisal,metric.gzip_compression_ratio,metric.language_emergence,metric.language_strangeness,metric.mean_chars_per_message,metric.mean_chars_per_round,metric.mean_message_length,metric.mean_word_length,metric.message_entropy,metric.neologism,metric.perplexity,metric.postmortem_ended_timeout,metric.protocol_probe,metric.round_ended_idle,metric.round_ended_timeout,metric.round_success,metric.shorthand_codes,metric.slang_emergence
veyru/1780571887,veyru,7,,,,3.011516577653646,3.1066910503757326,1.0247704570679044,,1.0,44.0,,,,4.197640364117352,,6.884122014045715,,,,,0.0,1.0,
veyru/1780571887,veyru,8,,,,3.0653399423634022,3.0847090224664844,0.9930555555555556,,1.0,46.0,,,,4.1625021663191175,,6.330492734909058,,,,,0.0,1.0,
veyru/1780571887,veyru,9,,,,4.208620116366182,3.615838643690085,1.0422021265771266,,1.0,40.75,,,,4.288491585407247,,6.537473917007446,,,,,0.0,1.0,
veyru/1780571887,veyru,10,,,,3.613019959381463,3.3388621404783474,1.0556838805477644,,1.0,36.333333333333336,,,,4.108082451145249,,7.069684346516927,,,1.0,,0.0,1.0,
veyru/1780571887,veyru,11,,,,3.121696811474882,3.34155797464563,1.029741379310345,,1.0,41.5,,,,4.26369868726875,,6.961380958557129,,,,,0.0,1.0,
veyru/1780571887,veyru,12,,,,3.445840992651536,3.249522951537859,1.0440115440115438,,1.0,35.0,,,,4.175483747010545,,6.528789679209392,,,1.0,,0.0,1.0,
veyru/1780571887,veyru,13,,,,3.2153437527569917,3.3337022741428357,1.0505050505050504,,1.0,33.333333333333336,,,,4.0624081045781395,,6.440781116485596,,,1.0,,0.0,1.0,
veyru/1780571887,veyru,14,,,,3.845986210905881,3.5177992376785014,1.065073815073815,,1.0,31.666666666666668,,,,4.089280107764207,,6.0314040184021,,,1.0,,0.0,1.0,
veyru/1780571887,veyru,15,,,,3.140394433632299,3.3850905785337675,0.9861111111111112,,1.0,72.0,,,,4.423194190430396,,6.807824611663818,,,1.0,,0.0,1.0,
veyru/1780572066,veyru,1,,,,2.6180720043034666,2.7065731564961393,0.8536807755062866,,1.0,110.0,,,,4.182888083729413,,5.668168544769287,,,,,0.0,,
veyru/1780572066,veyru,2,,,,2.494608916140723,2.6508680526257904,0.8636363636363636,,1.0,98.0,,,,4.122917038514842,,5.75299072265625,,,,,0.0,1.0,
veyru/1780572066,veyru,3,,,,2.6749358659221247,2.970080882951781,0.8998778998778998,,1.0,82.5,,,,4.155339765827693,,5.6834166049957275,,,,,0.0,1.0,
veyru/1780572066,veyru,4,,,,2.6439303907972174,2.828028948292193,0.8842592592592593,,1.0,72.0,,,,4.082846572090128,,6.425018310546875,,,1.0,,0.0,,
veyru/1780572066,veyru,5,,,,2.925293348394196,2.841126528730565,0.843558282208589,,1.0,97.5,,,,4.066333710840546,,5.256389141082764,,,,,0.0,1.0,
veyru/1780572066,veyru,6,,,,3.230221527293651,3.3022462427391637,0.9444444444444445,,1.0,58.666666666666664,,,,3.9596590503317652,,6.035322825113933,,,,,0.0,1.0,
veyru/1780572066,veyru,7,,,,2.8068617262753897,2.9503920483633053,0.8631452581032413,,1.0,99.0,,,,4.2243792739148205,,5.402361869812012,,,,,0.0,1.0,
veyru/1780572066,veyru,8,,,,2.705780375458128,2.7967573099884047,0.8611111111111112,,1.0,96.0,,,,4.19922571405084,,4.901271343231201,,,,,0.0,1.0,
veyru/1780572066,veyru,9,,,,2.918295541904433,3.1351009113169583,0.8505434782608696,,1.0,108.0,,,,4.23434629264054,,5.163890838623047,,,,,0.0,1.0,
veyru/1780572066,veyru,10,,,,2.7812006656054162,2.9531217487446733,0.972398651297734,,1.0,58.0,,,,4.002002093200383,,6.035459677378337,,,,,0.0,1.0,
veyru/1780572066,veyru,11,,,,2.8355842552957142,3.0418075990621722,0.9569599217986315,,,56.333333333333336,,,,4.13729176571892,,5.891718069712321,,,,,0.0,1.0,
veyru/1780572066,veyru,12,,,,2.726905158721358,2.8182281825087774,0.8708333333333333,,1.0,90.0,,,,4.153341053681045,,6.263509750366211,,,,,0.0,1.0,
veyru/1780572066,veyru,13,,,,2.6581835707426054,2.8286280456434287,0.923633969716919,,1.0,86.5,,,,4.136344938199041,,6.863600015640259,,,,,0.0,1.0,
veyru/1780572066,veyru,14,,,,3.1270442144659056,2.9786334714300255,1.488920320603489,,1.0,78.33333333333333,,,,2.6761475334850076,,5.66130518913269,,,,,0.0,1.0,
veyru/1780572066,veyru,15,,,,2.6838607903981293,2.8027399404906195,0.8527998077385244,,1.0,122.0,,,,4.308452518170196,,5.515676736831665,,,,,0.0,1.0,
veyru/1780576077,veyru,1,,,,2.2772746117039167,2.359229942090024,0.7809398712787883,,1.0,133.0,,,,4.0588422378694045,,5.476746718088786,,,,,0.0,1.0,
veyru/1780576077,veyru,2,,,,2.45986516590944,2.502393117539646,0.8577773498289215,,1.0,98.75,,,,4.129770088507998,,5.955515742301941,,,,,0.0,1.0,
